Gesture,Landmark,X,Y,Z
1,0,0.7197895050048828,0.8716644048690796,-2.7343003239366226e-07
1,1,0.678939700126648,0.8258925676345825,-0.014572029002010822
1,2,0.6582636833190918,0.7560709714889526,-0.026452580466866493
1,3,0.6753646731376648,0.7012560367584229,-0.04115167260169983
1,4,0.7041861414909363,0.6697529554367065,-0.05589057877659798
1,5,0.6870578527450562,0.6709094643592834,-0.015365781262516975
1,6,0.680311918258667,0.5784881114959717,-0.037521202117204666
1,7,0.6786278486251831,0.520679771900177,-0.0509759746491909
1,8,0.6765902042388916,0.47483935952186584,-0.060297753661870956
1,9,0.7228874564170837,0.6788618564605713,-0.021985536441206932
1,10,0.7078733444213867,0.6583505272865295,-0.06304927915334702
1,11,0.6956228017807007,0.7188241481781006,-0.07268481701612473
1,12,0.6884627342224121,0.769115149974823,-0.06917718797922134
1,13,0.755509078502655,0.696562647819519,-0.030959542840719223
1,14,0.7367396354675293,0.68804931640625,-0.06769808381795883
1,15,0.7202110290527344,0.7477750182151794,-0.060506030917167664
1,16,0.711207389831543,0.7918898463249207,-0.04555249959230423
1,17,0.7860526442527771,0.7228424549102783,-0.041568003594875336
1,18,0.7667798399925232,0.7089369893074036,-0.06303742527961731
1,19,0.7474297285079956,0.7506871223449707,-0.0548916794359684
1,20,0.7379320859909058,0.7839898467063904,-0.04246305301785469
1,0,0.6781423091888428,0.8548447489738464,-2.583599609806697e-07
1,1,0.6352497935295105,0.8149421215057373,-0.014992852695286274
1,2,0.6071252226829529,0.7517803311347961,-0.029281793162226677
1,3,0.6148474812507629,0.697038471698761,-0.04667966812849045
1,4,0.6429614424705505,0.6662033200263977,-0.06475744396448135
1,5,0.6365904211997986,0.6491210460662842,-0.019785039126873016
1,6,0.6270521283149719,0.5540653467178345,-0.04435116797685623
1,7,0.6255121231079102,0.49335578083992004,-0.060354266315698624
1,8,0.6247129440307617,0.4449896216392517,-0.07142651826143265
1,9,0.6739310622215271,0.6534022092819214,-0.02691739611327648
1,10,0.6487083435058594,0.6404996514320374,-0.06886663287878036
1,11,0.6367518901824951,0.702385663986206,-0.07951311767101288
1,12,0.6332387924194336,0.7536440491676331,-0.07686176151037216
1,13,0.7069618701934814,0.6694466471672058,-0.03618084266781807
1,14,0.6769380569458008,0.6722655296325684,-0.07308698445558548
1,15,0.6655101180076599,0.73097163438797,-0.06591299176216125
1,16,0.6621080636978149,0.7767113447189331,-0.05094791203737259
1,17,0.7377973198890686,0.6949999332427979,-0.04721657186746597
1,18,0.7083021402359009,0.6886460185050964,-0.06859305500984192
1,19,0.6941166520118713,0.7308335900306702,-0.05991314351558685
